,Key Items,Instructions
19,Production Shortfall Rate,"## Finding the Production Shortfall Rate in a Solar O&M Agreement:

**Keywords to Search:**

*   Production Shortfall Rate
*   Performance Guarantee
*   Penalty
*   Compensation
*   kWh
*   Guarantee Year
*   Annual Production Guarantee
*   Actual kWh

**Patterns to Identify:**

*   **Formulas or equations:** Look for formulas that calculate the penalty or compensation based on the difference between the actual kWh produced and the guaranteed production level.
*   **Dollar amounts per kWh:** The Production Shortfall Rate is typically expressed as a dollar amount per kilowatt-hour. 
*   **References to specific exhibits or sections:** The document may refer to other sections or exhibits where the Production Shortfall Rate is defined or calculated.

**Examples of How the Information Might Appear:**

*   A table in Exhibit F directly stating the Production Shortfall Rate (e.g., ""$0.2653/kWh"").
*   A formula in Section 14.1 calculating the Annual Penalty Difference based on the Production Shortfall Rate and the difference between Actual kWh and guaranteed production.
*   A statement in Section 14 describing the compensation mechanism for production shortfalls, referencing the Production Shortfall Rate. 
"
20,Guarantee Limitations,"## Finding Guarantee Limitations in Solar O&M Agreement:

**Keywords:**

*   Production Guaranty
*   Performance Guarantee
*   Energy Yield
*   Guarantee Exclusions
*   Force Majeure

**Patterns:**

*   Numbered sections, often within Article 2 (e.g., 2.3(h))
*   Lists of exclusions introduced by phrases like ""shall not apply"" or ""not responsible for""
*   References to specific events (e.g., vandalism, utility outages, equipment failure)

**Sections:**

*   **Article: Project Operation and Maintenance** - This section typically outlines the responsibilities of both parties regarding the solar project's operation and upkeep. Look for subsections related to performance guarantees or production guarantees.
*   **Exhibits or Schedules** -  Sometimes, guarantee limitations are detailed in separate exhibits or schedules attached to the main agreement. Look for titles like ""Performance Guarantee Schedule"" or ""Exclusions from Production Guarantee.""

**Additional Tips:**

*   Pay attention to the definitions section of the agreement, as it may clarify the meaning of key terms like ""Force Majeure"" or ""Equipment.""
*   Consider the context of the agreement and the specific project when interpreting guarantee limitations. 
"
21,Reporting (Proactive and Reactive),"## Finding Reporting Requirements in O&M Agreement:

**Keywords to Look For:**

*   **Report, Reporting, Reports**
*   **Log, Logs, Logging**
*   **Monitoring**
*   **Performance**
*   **Maintenance**
*   **Inspection**
*   **Data**
*   **Information**
*   **Frequency**
*   **Schedule**
*   **Submit, Provide, Furnish**
*   **Quarterly, Monthly, Annually**

**Patterns to Identify:**

*   **Timeframes:** Look for mentions of specific timeframes like days, months, quarters, or years, often following verbs like ""submit,"" ""provide,"" or ""furnish.""
*   **Report Types:** Identify keywords related to the content of reports, such as ""performance,"" ""maintenance,"" ""inspection,"" or ""operation.""
*   **Triggers:**  Notice phrases indicating specific events that trigger reporting, such as ""completion of service,"" ""unplanned outage,"" or ""end of quarter.""

**Section Numbers (Common Locations):**

*   **Operations and Maintenance (O&M) Sections:** These sections often detail reporting requirements related to system performance, maintenance activities, and inspections.
*   **Exhibit:** exhibit frequently outlines specific reporting formats, contents, and schedules.
*   **General Terms or Definitions Sections:** Look for definitions of terms like ""Monthly Report"" or ""Performance Report"" which can point to relevant sections.

**Examples of How to Apply These Instructions:**

1.  **Search for Keywords:** search for keywords like ""report"" or ""monthly."" This will highlight sections potentially related to reporting requirements.
2.  **Scan for Patterns:** Once you've located relevant sections, look for patterns like timeframes (""within 5 days""), report types (""performance report""), and triggers (""following completion of service"").
3.  **Check Common Sections:** Pay close attention to sections titled ""Operations and Maintenance,"" ""Reporting,"" or similar. Review ""Exhibit A"" for detailed reporting formats and schedules.

**Remember:** The specific location and wording of reporting requirements may vary depending on the agreement. Use these instructions as a guide to efficiently locate the information you need. 
"
22,Insurance Requirements,"## Finding Insurance Requirements in O&M Agreement:

**Keywords and Patterns:**

*   **Section Titles:** Look for sections explicitly titled ""Insurance,"" ""Insurance Requirements,"" or ""Indemnification and Insurance.""
*   **Keywords within Sections:** Scan for terms like ""liability insurance,"" ""workers' compensation,"" ""commercial general liability,"" ""automobile liability,"" ""umbrella insurance,"" ""professional liability,"" ""coverage,"" ""limits,"" ""deductibles,"" ""aggregate,"" ""occurrence,"" and ""policy.""
*   **Numerical Values:** Pay attention to numerical values representing coverage limits (e.g., ""$1,000,000 per occurrence"").
*   **Insurance Types:** Look for specific types of insurance mentioned, such as CGL, auto liability, workers' compensation, and umbrella liability.
*   **Exhibit References:** Check if the agreement mentions an Exhibit (e.g., ""Exhibit D"") that might contain detailed insurance requirements.

**Sections to Focus On:**

*   **Article/Section:** While numbering can vary, common locations for insurance requirements include:
    *   Indemnification and Insurance
    *   Workers' Compensation
    *   CGL Insurance
    *   Auto Liability Insurance
    *   Umbrella Excess Liability Insurance
    *   Operator Insurance
    *   Insurance Provisions

**Examples of How to Extract Information:**

1.  **Locate the Relevant Section:**  Find the section titled ""Insurance Requirements"" or similar.
2.  **Identify Insurance Types:** Look for headings or paragraphs specifying the types of insurance required (e.g., CGL, auto liability).
3.  **Extract Coverage Limits:** Note the numerical values associated with each type of insurance and the corresponding coverage description (e.g., ""$1,000,000 per occurrence"").
4.  **Deductibles and Specifics:** Look for information on deductibles, self-insured retentions, and any specific requirements or limitations mentioned.
5.  **Additional Insured Parties:** Check if the agreement specifies who should be named as additional insured on the policies.

**Remember:** The specific wording and organization of insurance requirements will vary between agreements. Use the keywords, patterns, and section guidance to effectively locate and extract the necessary information. 
"
23,Termination - Provider,"## Finding Termination Clauses in O&M Agreement:

**Keywords:**

*   Termination
*   Default
*   Breach
*   Insolvency
*   Bankruptcy
*   Cure Period
*   Notice Period

**Patterns:**

*   Section headings like ""Termination,"" ""Default,"" or ""Term and Termination""
*   Numbered clauses within sections (e.g., 9.a, 3.1(b))
*   References to specific events triggering termination (e.g., bankruptcy, non-payment)
*   Timeframes for notice and cure periods (e.g., 30 days, 15 days)

**Sections:**

*   Focus on sections explicitly labeled ""Termination"" or similar.
*   Review sections related to ""Term"" or ""Agreement Duration"" as they might contain termination clauses.
*   Check sections outlining obligations of both parties, as breaches of these obligations often lead to termination rights.

**Examples of Specific Phrases:**

*   ""Either Party may terminate this Agreement...""
*   ""Provider may terminate this Agreement in the event of...""
*   ""If Owner fails to comply with...""
*   ""...upon written notice...""
*   ""...material breach...""
*   ""...cure period...""

**Additional Tips:**

*   Pay attention to the specific language used to define events triggering termination.
*   Note the required notice periods and procedures for termination.
*   Identify any consequences of termination, such as financial liabilities or ongoing obligations. 
"
24,Termination - Customer,"## Finding Termination Clauses for Customers in O&M Agreement:

**Keywords and Patterns:**

*   **Section Titles:** Look for sections titled ""Termination,"" ""Term and Termination,"" ""Default,"" ""Breach,"" ""Events of Default,"" or similar.
*   **Keywords within Sections:** Scan for keywords like ""terminate,"" ""cancellation,"" ""end,"" ""breach,"" ""default,"" ""insolvency,"" ""bankruptcy,"" ""failure to perform,"" ""cure period,"" ""notice,"" and ""written notice.""
*   **Party Names:** Identify references to the customer, which might be labeled as ""Customer,"" ""Subscriber,"" ""Interconnection Customer,"" ""Owner,"" or similar.
*   **Triggering Events:** Look for specific events that allow the customer to terminate, such as:
    *   Breach of contract by the other party (e.g., utility company)
    *   Failure to meet performance standards
    *   Changes in law or regulation
    *   Force majeure events
    *   Bankruptcy or insolvency of the other party
    *   Convenience (unilateral termination right)

**Sections to Focus On:**

*   **Termination Clause:** This section explicitly outlines the conditions and procedures for termination by either party.
*   **Default and Remedies:** This section may detail events of default and the remedies available, including termination rights.
*   **Force Majeure:** This section may specify events beyond the parties' control that could excuse performance or allow for termination.
*   **Term and Renewal:** This section may include provisions for termination at the end of the agreement term or upon renewal.

**Examples of Text to Extract:**

*   The entire termination clause or relevant subsections related to customer termination rights.
*   Specific sentences outlining triggering events for customer termination.
*   Notice periods and procedures required for customer-initiated termination.
*   Consequences of termination, such as applicable fees or liabilities.

**Additional Tips:**

*   Pay attention to cross-references to other sections or exhibits within the agreement.
*   Consider the context of the agreement and the specific relationship between the parties.
*   If the agreement is complex, consider seeking legal advice for interpretation. 
"
25,Termination - Maximum Liability,""
26,Default - Provider,"## Finding ""Default - Provider"" Clauses in O&M Agreement:

**Keywords to Look for:**

*   ""Default""
*   ""Event of Default""
*   ""Termination""
*   ""Breach""
*   ""Failure to Perform""
*   ""Cure Period""
*   ""Notice""

**Patterns to Identify:**

*   Sections outlining the consequences of the provider failing to meet their obligations.
*   Clauses mentioning specific timeframes for remedying breaches (e.g., 30 days).
*   References to written notices and cure periods.
*   Sections detailing termination rights due to provider's non-compliance.

**Section Numbers to Focus On:**

While section numbering can vary, prioritize sections titled:

*   **Default**
*   **Termination**
*   **Provider Obligations**
*   **Remedies**

**Examples of Relevant Clauses (Similar to the ones provided):**

*   Clauses stating the provider's failure to perform obligations within a specific timeframe constitutes default, especially if not remedied after written notice.
*   Clauses mentioning termination rights if the provider breaches material terms and fails to cure within a defined period.
*   Clauses specifying that failure to maintain required insurance is a material breach leading to potential liability.
*   Clauses allowing termination with immediate effect if the provider's breach remains uncured after a certain period. 
"
27,Default - Customer,"## Finding ""Customer Default"" Clauses in O&M Agreement:

Defined as conditions under which party (Customer / Operator) can terminate the agreement.

**Keywords and Patterns:**

*   **Section Titles:** Look for sections titled ""Default,"" ""Events of Default,"" ""Termination,"" ""Suspension,"" or similar.
*   **Keywords within Sections:** Search for keywords like ""breach,"" ""failure,"" ""non-payment,"" ""non-compliance,"" ""remedy,"" ""cure period,"" ""notice,"" ""terminate,"" ""suspend.""
*   **Specific Phrases:** Look for phrases like ""Customer materially breaches,"" ""fails to comply with,"" ""fails to pay,"" ""written notice,"" ""cure period,"" ""termination,"" ""suspension.""

**Instructions:**

1.  **Locate Relevant Sections:** Use the table of contents or headings within the document to identify sections with titles or keywords mentioned above.
2.  **Scan for Keywords and Phrases:** Within identified sections, scan for the listed keywords and phrases to pinpoint specific clauses related to customer default.
3.  **Analyze Clauses:** Carefully read and understand the identified clauses, paying attention to:
    *   **Specific events constituting default:** This could include non-payment, breach of agreement terms, failure to meet operational requirements, etc.
    *   **Cure periods:** Note the timeframe provided to the customer to remedy the default before consequences occur.
    *   **Consequences of default:** Identify the actions the provider can take, such as suspension of services, termination of the agreement, or other penalties.
4.  **Extract Examples:** Once you locate clauses defining customer default and its consequences, extract the relevant text as examples, including the section and subsection numbers for reference (e.g., 3.1(b)(ii)). 
"
28,Assignment - Provider,"## Finding Assignment Clauses in O&M Agreement:

**Keywords and Patterns:**

*   **Explicit Keywords:** ""Assignment,"" ""Transfer,"" ""Delegate,"" ""Subcontract,"" ""Successors,"" ""Assigns"" 
*   **Section Titles:** Look for sections titled ""Assignment,"" ""Transfer of Rights,"" ""Subcontracting,"" or similar.
*   **Consent Clauses:** Phrases like ""prior written consent,"" ""reasonable withholding of consent,"" or ""conditions for assignment.""
*   **Affiliate/Successor Language:** Mentions of ""affiliates,"" ""subsidiaries,"" ""parent companies,"" ""mergers,"" ""acquisitions,"" or ""change of control.""

**Sections to Focus On:**

*   **General Provisions:** Often contain clauses related to assignment and transfer of rights.
*   **Term and Termination:** May specify conditions for assignment upon termination or expiration of the agreement.
*   **Miscellaneous Provisions:**  May include clauses addressing assignment rights.

**Examples and Variations:**

The provided examples illustrate common ways assignment clauses are phrased. Look for variations like:

*   **Mutual vs. Unilateral Assignment:** Whether both parties or only one party has the right to assign the agreement.
*   **Conditions for Consent:**  Reasons for which consent to assignment might be withheld (e.g., financial instability of the assignee).
*   **Automatic Assignment:**  Instances where assignment is permitted without consent (e.g., to affiliates or successors).
*   **Liability after Assignment:** Whether the assigning party retains any liability after transferring its obligations.

**Additional Tips:**

*   **Context is Key:**  Carefully read the surrounding text to understand the specific conditions and limitations of the assignment clause.
*   **Cross-Reference Definitions:**  Check if the agreement defines terms like ""affiliate"" or ""successor"" to ensure accurate interpretation. 
"
29,Assignment - Customer,"## Finding Assignment Clauses in O&M Agreement:

Here's how to identify and extract ""Assignment - Customer"" clauses from solar energy O&M Agreement:

**Keywords:**

*   ""assign""
*   ""transfer""
*   ""assignment""
*   ""consent""
*   ""affiliate""
*   ""successor""
*   ""merger""
*   ""acquisition""
*   ""financing""

**Patterns:**

*   Look for sections that discuss the transfer of rights or obligations under the agreement.
*   Pay attention to clauses that mention conditions or limitations on assignment.
*   Identify instances where the customer can assign the agreement without the provider's consent.

**Section Numbers:**

While section numbering can vary, common locations for assignment clauses include:

*   **General Provisions:** Often labeled as ""Miscellaneous,"" ""General,"" or similar.
*   **Term and Termination:** This section may address assignment rights upon termination or expiration of the agreement.
*   **Assignment:** Some agreements have a dedicated section specifically for assignment rights.

**Examples of Specific Phrases:**

*   ""Customer may assign this Agreement...""
*   ""Neither Party may assign...""
*   ""Assignment by Customer shall require...""
*   ""Without the need for consent from Provider...""
*   ""Subject to the prior written consent of...""

**Additional Tips:**

*   Pay attention to the context of the clause to ensure it specifically addresses the customer's right to assign the agreement.
*   Consider the overall structure and language of the agreement to identify relevant sections. 
*   Use the ""find"" function in your document viewer to quickly search for keywords. 
"
30,Force Majeure,"## Finding Force Majeure Clauses in O&M Agreement:

**Keywords:**

*   Force Majeure
*   Acts of God
*   Unforeseeable event
*   Beyond reasonable control
*   Excuse from performance

**Patterns:**

*   Look for sections titled ""Force Majeure"" or similar headings like ""Excusable Delays"" or ""Events Beyond Control.""
*   Search for phrases like ""neither party shall be liable"" or ""obligations shall be suspended"" in conjunction with the keywords above.
*   Identify lists of specific events like natural disasters, labor strikes, or government actions.

**Examples of Text to Extract:**

1.  **Definition of Force Majeure:** The specific definition of what constitutes a Force Majeure event according to the agreement. 
2.  **List of Force Majeure Events:** The specific examples of events considered Force Majeure, such as natural disasters, labor strikes, or government actions.
3.  **Impact of Force Majeure:** The consequences of a Force Majeure event, such as suspension of obligations, notice requirements, and mitigation efforts.
4.  **Exclusions:** Any events specifically excluded from the definition of Force Majeure, such as economic hardship. 
5.  **Duration and Termination:** Clauses related to the duration of the Force Majeure event and potential termination of the agreement under specific circumstances. 
"
31,Prevailing Party,"## Finding ""Prevailing Party"" Clauses in O&M Agreement:

**Keywords to Search:**

*   ""Prevailing Party"" 
*   ""attorneys' fees""
*   ""costs and expenses""
*   ""legal proceeding""
*   ""dispute resolution""

**Patterns to Identify:**

*   Sentences awarding fees and costs to the winning party in a legal dispute.
*   Clauses outlining the process of dispute resolution, often mentioning ""prevailing party"" in the context of awarding fees.

**Sections to Focus On:**

*   **Dispute Resolution Clause:** This section typically outlines the process for resolving disagreements between parties, often including provisions for awarding fees to the prevailing party.
*   **Default and Remedies Clause:** This section details the consequences of breaching the agreement, which may include provisions for recovering legal fees.
*   **Miscellaneous Provisions:**  This section can sometimes contain clauses related to dispute resolution and fee awards.

**Examples of How Clauses May Appear:**

*   ""The prevailing party in any legal proceeding related to this Agreement shall be entitled to payment of reasonable attorneyâ€™s fees and expert costs.""
*   ""If Contractor prevails in any action to enforce the terms of this Agreement, it shall be entitled to recover its reasonable attorneys' fees and costs incurred in connection with such action."" 
*   ""In the event of a dispute arising under this Agreement, the prevailing party shall be entitled to recover its reasonable attorneys' fees and costs."" 
"
32,Nameplate Capacity,"## Finding Nameplate Capacity in Solar O&M Agreement:

**Keywords and Patterns:**

*   **Explicit Keywords:** ""Nameplate Capacity"", ""System Size"", ""Size kW DC"", ""kWp"", ""MWDC""
*   **Units:** Look for values associated with units like ""kW"", ""MW"", ""kWp"" (kilowatt-peak), or ""MWDC"" (megawatt direct current).
*   **Contextual Clues:** Search for sections related to project or system descriptions, equipment specifications, or site details.

**Sections to Explore:**

*   **Exhibits:** Pay close attention to exhibits, especially those labeled ""System Description"", ""Project Information"", or similar titles. These often contain tables or lists with relevant data.
*   **Schedules:** Schedules, particularly those related to project summaries or equipment lists, may provide Nameplate Capacity figures.
*   **Master Agreements:** The main body of the agreement might mention Nameplate Capacity in sections discussing system specifications, performance guarantees, or limitations.

**Examples of Where to Look:**

*   **Exhibit:** This exhibit frequently includes tables outlining project details, often with columns explicitly labeled ""Nameplate Capacity"" or using synonymous terms.
*   **Schedule:** Look for tables listing project information, potentially with columns indicating system size or capacity in kW or MW.
*   **Master Solar PV Operation and Maintenance Agreement:** Within Exhibit A of this agreement, search for tables detailing site and system information, often including columns for ""Size kW DC"" or similar terms."
33,Liens,"## Finding Lien Provisions in O&M Agreement:

**Keywords:**

*   ""Lien""
*   ""Encumbrance""
*   ""Security Interest""
*   ""Charge""
*   ""Claim""

**Patterns:**

*   ""Free and clear of all liens""
*   ""Will not result in the imposition of any lien""
*   ""Discharge of any lien""
*   ""Keep and maintain the System free of liens""

**Section Numbers:**

While section numbers can vary, focus on sections related to:

*   **Representations and Warranties:** Look for sections where each party makes assurances about the status of their assets and obligations. (e.g., 6.1(e), 6.2(e))
*   **Operation and Maintenance:**  Search for clauses outlining responsibilities for maintaining the system and addressing potential liens. (e.g., 3.6)
*   **Default and Remedies:**  Examine sections detailing consequences of breaching the agreement, which may include provisions for addressing liens. "
34,PPA Net Energy Rate,""
35,Summary of Economic Terms,"## Finding Summary of Economic Terms in O&M Agreement:

**Keywords and Patterns:**

*   **Explicit mentions:** ""Summary of Economic Terms"", ""Financial Summary"", ""Economic Overview"", ""Compensation"", ""Fees"", ""Rates"", ""Payment Schedule"", ""Billing"", ""Invoicing""
*   **Exhibit and Schedule references:** Look for references to exhibits or schedules containing economic details, such as ""Exhibit A"", ""Schedule 2"", ""Exhibit C - Fee Schedule""
*   **Monetary values and calculations:** Search for numerical values representing costs, fees, rates, percentages, and formulas used to calculate payments.
*   **Payment terms:** Look for keywords like ""quarterly"", ""annually"", ""monthly"", ""per kWh"", ""fixed fee"", ""variable fee"", ""escalation"", ""incentives""

**Sections to Focus On:**

*   **Exhibits and Schedules:** Pay close attention to any exhibits or schedules specifically dedicated to fees, rates, or payment schedules. These often contain detailed breakdowns of costs and calculations.
*   **Operational and Maintenance Sections:** Sections related to O&M often outline fees associated with maintaining the solar energy system. Look for clauses mentioning ""Maintenance Fees"", ""O&M Costs"", ""Quarterly Fees"", etc.
*   **Payment and Invoicing Sections:** Sections dedicated to payment terms and invoicing procedures will provide information on payment frequency, methods, and deadlines. 
*   **Compensation and Revenue Sharing Sections:** If applicable, sections dealing with revenue sharing or compensation structures between involved parties will contain relevant economic terms."
36,Scope & Services,"## Finding ""Scope & Services"" in a Solar Energy O&M Agreement:

**Keywords and Patterns:**

*   **Section Titles:** Look for sections explicitly titled ""Scope of Services,"" ""Maintenance Scope of Services,"" ""Exhibit B,"" or similar variations. 
*   **Keywords:** Search for keywords like ""services,"" ""maintenance,"" ""operation,"" ""responsibilities,"" ""testing,"" ""inspection,"" ""monitoring,"" ""reporting,"" ""inventory,"" ""DC systems,"" ""AC systems,"" ""DAS/SCADA,"" ""emergency,"" ""material malfunction.""
*   **Numbered Lists:** Pay attention to numbered lists or tables outlining specific services and their frequencies.
*   **Exhibit References:** Look for references to exhibits, particularly ""Exhibit B,"" which often contains detailed service descriptions.

**Sections to Focus On:**

*   **Operational Services:** This section typically outlines the day-to-day tasks related to operating and maintaining the solar energy system.
*   **Maintenance Services:** This section details the specific maintenance activities, their frequencies, and any associated procedures.
*   **Testing and Inspection:** Look for sections dedicated to testing and inspection protocols for various system components.
*   **Monitoring and Reporting:** This section describes the monitoring systems used and the reporting requirements for performance and incidents.

**Examples of Text to Extract:**

*   **Direct Quotes:** Extract the exact wording describing the scope of services, including any limitations or exclusions.
*   **Numbered Lists:** Copy the numbered lists or tables outlining specific services and their frequencies.
*   **Exhibit References:** Note the exhibit references and locate the corresponding exhibits for detailed service descriptions.
*   **Performance Standards:** Extract any performance standards or metrics used to evaluate the quality of services.

**Additional Tips:**

*   **Context is Key:** Pay attention to the context surrounding the keywords and patterns to ensure you're capturing the relevant information.
*   **Cross-Reference:** Use the table of contents and headings to navigate the document efficiently.
*   **Read Carefully:** Thoroughly read the relevant sections to fully understand the scope of services and any associated terms and conditions. 
"
37,Noncovered Service - Rate Schedule,"## Finding Non-Covered Service Rate Schedules in O&M Agreement:

**Keywords to Look for:**

*   Non-Covered Services
*   Exhibit B (often associated with Non-Covered Services)
*   Rate Schedule
*   Additional Services
*   Time and Materials
*   Billing Rates

**Patterns to Identify:**

*   Sections with titles like ""Exhibit B"" or similar, often dedicated to outlining costs for services outside the agreement's scope.
*   Tables or lists detailing hourly rates for different labor categories (e.g., Electrician, Engineer).
*   Mention of markups on materials or subcontractor charges.
*   Descriptions of minimum charges, dispatch fees, or travel expense reimbursement.
*   Escalation clauses indicating periodic rate increases.

**Sections to Focus On:**

*   **Exhibits:** Pay close attention to exhibits, particularly ""Exhibit B,"" as they frequently contain detailed breakdowns of Non-Covered Service costs.
*   **Schedule of Fees or Charges:** Look for sections outlining the pricing structure for various services, including potential additional charges.
*   **Definitions:** The definitions section may clarify the distinction between covered and non-covered services.

**Examples of How to Locate the Information:**

1.  **Search for ""Exhibit"":**  Many O&M Agreement use ""Exhibit"" to specifically detail Non-Covered Services and their associated costs. Locate this exhibit for a comprehensive breakdown of charges.
2.  **Scan for Keywords:**  Search the document for keywords like ""Non-Covered Services,"" ""Rate Schedule,"" or ""Additional Services"" to identify relevant sections.
3.  **Review Fee Schedules:**  Look for sections titled ""Schedule of Fees"" or similar, which may include pricing for both covered and non-covered services.
4.  **Check Definitions:**  Read through the definitions section to understand the scope of covered services and identify what falls outside of it. 
"